Id;Band;Title;Cover;plays;Spotify;Albums;;;;;;;;
56;Muse ; Resistance;http://userserve-ak.last.fm/serve/126/65553108.png;4966904;1C2QJNTmsTxCDBuIgai8QV;http://www.lastfm.it//music/Muse/The+Resistance;http://www.lastfm.it//music/Muse/Live+At+Rome+Olympic+Stadium;http://www.lastfm.it//music/Muse/The+Resistance+(Instrumental);http://www.lastfm.it//music/Various+Artists/Promo+Only:+Modern+Rock+Radio,+January+2010;;;;;
57;Snow Patrol ; Just Say Yes;http://userserve-ak.last.fm/serve/126/43744305.png;1183588;1HFgjUOheWVmz6Y068Qvaz;http://www.lastfm.it//music/Snow+Patrol/Up+to+Now;http://www.lastfm.it//music/Snow+Patrol/Just+Say+Yes;http://www.lastfm.it//music/Snow+Patrol/Greatest+Hits;http://www.lastfm.it//music/Various+Artists/538+Hitzone:+Best+of+2010;;;;;
58;Duke Dumont ; I Got U (feat. Jax Jones);http://userserve-ak.last.fm/serve/126/96400583.jpg;23898;0Ro1c6W6liy3wgDGP3GMX8;0;;;;;;;;
59;Bastille ; Pompeii;http://userserve-ak.last.fm/serve/126/91244823.png;3816093;0BYe3jHaAVP0npp7x1D9Wf;http://www.lastfm.it//music/Bastille/Bad+Blood;http://www.lastfm.it//music/Bastille/All+This+Bad+Blood;http://www.lastfm.it//music/Bastille/Bad+Blood+(The+Extended+Cut);http://www.lastfm.it//music/Bastille/Bad+Blood:+The+Extended+Cut;;;;;
60;30 Seconds to Mars ; This Is War;http://userserve-ak.last.fm/serve/126/65768792.png;3449374;01v7kv0RTVaX4Vs8GcOGOP;http://www.lastfm.it//music/30+Seconds+to+Mars/This+Is+War;http://www.lastfm.it//music/30+Seconds+to+Mars/This+Is+War+(Standart+Edition);http://www.lastfm.it//music/30+Seconds+to+Mars/Greatest+Hits;http://www.lastfm.it//music/30+Seconds+to+Mars/Into+The+Wild;;;;;
61;Keane ; This Is the Last Time;http://userserve-ak.last.fm/serve/126/88261581.png;2407328;045pWuWFsFqzDNsrOQomyU;http://www.lastfm.it//music/Keane/Hopes+and+Fears;http://www.lastfm.it//music/Keane/This+Is+The+Last+Time;http://www.lastfm.it//music/Keane/Bedshaped;http://www.lastfm.it//music/Keane/The+Best+of+Keane;;;;;
62;Kylie Minogue ; Million Miles;http://userserve-ak.last.fm/serve/126/99156613.png;133952;1Y7GyVbTNyIVBJr25hmVxm;0;;;;;;;;
63;Young the Giant ; Cough Syrup;http://userserve-ak.last.fm/serve/126/69924854.png;1779721;1UqhkbzB1kuFwt2iy4h29Q;http://www.lastfm.it//music/Young+the+Giant/Young+the+Giant;http://www.lastfm.it//music/Young+the+Giant/Cough+Syrup;http://www.lastfm.it//music/Young+the+Giant/iTunes+Live+from+SoHo;http://www.lastfm.it//music/Various+Artists/Promo+Only:+Mainstream+Radio,+November+2011;;;;;
64;The White Stripes ; Seven Nation Army;http://userserve-ak.last.fm/serve/126/50892057.png;8677816;3m6KkYKdnbffMpGd9Pm9FP;http://www.lastfm.it//music/The+White+Stripes/Elephant;http://www.lastfm.it//music/The+White+Stripes/Elephant-ADVANCE+VINYL;http://www.lastfm.it//music/The+White+Stripes/Under+Great+White+Northern+Lights;http://www.lastfm.it//music/The+White+Stripes/2005-09-21:+The+Opera+House,+Boston,+MA,+USA;;;;;
65;Avicii ; Addicted To You (David Guetta Remix);http://userserve-ak.last.fm/serve/126/97489699.png;7679;1dHm8IDQ90AH24ZVfgC2z5;http://www.lastfm.it//music/Avicii/Addicted+To+You;http://www.lastfm.it//music/Mastermix/Pro+Dance+75;;;;;;;
