Id;Title;Front_cover;Genre;Platforms;Developer;Games_related;;;;;;;;
55;Evolve;http://assets2.ignimgs.com/2014/02/28/evolve-us-rp-generaljpg-df0e8f_160h.jpg;Shooter;Xbox One PS4 PC;2K;Halo 5: Guardians;Titanfall;Far Cry 4;Halo 5: Guardians;Titanfall;Killer Instinct;;;
56;The Legend of Zelda: A Link Between Worlds;http://assets2.ignimgs.com/2013/11/06/alinkbetweenworlds1jpg-884e4b_160h.jpg;Adventure;3DS;Nintendo;Harvest Moon: A New Beginning;Heroes of Ruin;Professor Layton and the Miracle Mask;New Super Mario Bros. 2;Bravely Default;Bravely Default;;;
57;Assassin's Creed III;http://pspmedia.ign.com/ps-vita/image/object/128/128701/AC3_X360_BXSHT_1boxart_160h.jpg;Action;Xbox 360 Wii U PC PS3;Ubisoft;Watch Dogs;Diablo III;Resident Evil 6;Resident Evil 6;Valiant Hearts: The Great War;Dead Space 3;Watch Dogs;Diablo III;Borderlands 2
58;A Bug's Life;http://pocketmedia.ign.com/pocket/image/object/010/010782/600802boxart_160h.jpg;Action;GBC PC N64 PS PSP PS3;THQ;The Legend of Zelda: Oracle of Seasons;The Legend of Zelda: Oracle of Ages;Batman: Chaos in Gotham;Pokemon Silver Version;Pokemon Gold Version;Pokemon Crystal Version;;;
59;Bravely Default (Collector's Edition);http://assets1.ignimgs.com/2014/02/07/bravely-default-collectors-us-esrb-3dsjpg-bb23bc_160h.jpg;RPG;3DS;Square;Paper Mario: Sticker Star;Pokemon Alpha Sapphire Version;Pokemon Omega Ruby Version;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Animal Crossing: New Leaf;;;
60;The Witcher 3: Wild Hunt;http://assets1.ignimgs.com/2014/04/01/esrbw32dpcboxshotjpg-0a5b0b_160h.jpg;RPG;PC Xbox One PS4;CD;Guild Wars 2;Dragon Age: Inquisition;WildStar;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
61;Borderlands 2;http://wirelessmedia.ign.com/wireless/image/object/094/094188/BL2_360_FoBboxart_160h.jpg;Shooter;Xbox 360 Mac PC PS3;2K;Halo 4;Gears of War: Judgment;Call of Duty: Black Ops II;Diablo III;Bound by Flame;Fable: The Journey;Watch Dogs;Diablo III;Halo 4
62;Valiant Hearts: The Great War;http://assets2.ignimgs.com/2013/09/10/valheartspcjpg-883295_160h.jpg;Puzzle;PC Xbox 360 PS3 Xbox One;Ubisoft;The Witness;Never Alone;Quantum Conundrum;Thief;Assassin's Creed III;Resident Evil 6;Far Cry 4;Dark Souls II;Wolfenstein: The New Order
63;A Bug's Life;;Platformer;PSP PC N64 PS PC PS3;Sony;LittleBigPlanet;Daxter;Ape Escape: On the Loose;Kingdom Hearts: Birth by Sleep;Final Fantasy Type-0;Metal Gear Solid: Peace Walker;;;
64;Titan Invasion;http://assets2.ignimgs.com/2014/02/19/titan-invasion-buttonjpg-5cc678_160h.jpg;Action;PS3 Vita PS4;Curve;Grand Theft Auto V;Middle-earth: Shadow of Mordor;The Witch and the Hundred Knight;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
65;Sniper Elite III;http://assets2.ignimgs.com/2014/03/06/sniper-elite-3-us-rp-ps3jpg-56a37b_160h.jpg;Shooter;PS3 Xbox One PC Xbox 360;505;Call of Duty: Black Ops II;Borderlands 2;Dust 514;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
66;A Bug's Life;;Platformer;PS3 PC N64 PS PC PSP;Sony;Sly Cooper: Thieves in Time;LittleBigPlanet 2;LittleBigPlanet;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
