Id;Title;Front_cover;Genre;Platforms;Developer;Games_related;;;;;;;;
93;A Craving for Blood;;Action;PC;Matrix;Dark Souls II;Alien: Isolation;Assassin's Creed III;Thief;Assassin's Creed III;Resident Evil 6;Far Cry 4;Dark Souls II;Wolfenstein: The New Order
94;Pokemon White Version 2;http://dsmedia.ign.com/ds/image/object/129/129228/pokemonwhite21boxart_160h.jpg;RPG;NDS;Nintendo;Pokemon Black Version 2;Pokemon White Version;Pokemon Black Version;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version;;;
95;A DS Picture Book that Kids and Parents Can Play Together: Ukkari Penelope;http://dsmedia.ign.com/ds/image/object/142/14238033/ukkaripenelopeboxart_160h.jpg;Educational;NDS;Tecmo;Brain Age: Train Your Brain in Minutes a Day;Big Brain Academy;My Japanese Coach;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version 2;;;
96;Metroid Fusion;http://pocketmedia.ign.com/pocket/image/object/016/016227/627740boxart_160h.jpg;Action;GBA Wii U 3DS;Nintendo;The Legend of Zelda: The Minish Cap;Dragon Ball Z: The Legacy of Goku;Metroid: Zero Mission;The Legend of Zelda: The Minish Cap;Metroid: Zero Mission;Castlevania: Aria of Sorrow;Pokemon Emerald Version;Pokemon Ruby Version;Pokemon FireRed Version
97;Child of Light;http://assets1.ignimgs.com/2013/09/10/childoflightwiujpg-e94626_160h.jpg;RPG;Vita PS3 PS4 Wii U PC Xbox 360;Ubisoft;Ragnarok Odyssey;Persona 4 Golden;New Little King's Story;Borderlands 2;Tearaway;Ys: Memories of Celceta;;;
98;A Dark Room;http://assets1.ignimgs.com/2013/10/10/a-dark-room-generaljpg-8840db_160h.jpg;;Web;;Offensive Combat;Battle Pirates;Outernauts;;;;;;
99;Kirby's Dream Collection: Special Edition;http://wiimedia.ign.com/wii/image/object/132/132757/Kirbys-20th-Anniversary-Collection_Wii_US_ESRBboxart_160h.jpg;Platformer;Wii 3DS GB;Nintendo;Super Mario Galaxy 2;New Super Mario Bros. Wii;Super Mario Galaxy;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;;;
100;A Day In The Life;;Action;ZX;;Blood Brothers;Pac-Mania;Jet Set Willy;Street Fighter;Animated Strip Poker;PSI-5 Trading Company;;;
101;Catan;;Board;iPhone iPad PS PS2 Xbox 360 NNG;United;Monopoly: Here & Now -- World Edition;Battle Chess (2011);Pure Chess;Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Modern Combat 5;;;
102;A Day on the Farm;http://media.ign.com/games/image/object/924/924611/VSMILE-BABY_ADayOnTheFarmboxart_160h.jpg;Educational;vsmilebaby;Vtech;Baby Einstein: World of Discoveries;Noah's Ark: Animal Adventures;Learn & Discover Home;Baby Einstein: World of Discoveries;Noah's Ark: Animal Adventures;Learn & Discover Home;;;
103;Super Mario Galaxy 2;http://wiimedia.ign.com/wii/image/object/143/14354736/Super-Mario-Galaxy-2_WII_US_ESRBboxart_160h.jpg;Platformer;Wii;Nintendo;Kirby's Dream Collection: Special Edition;New Super Mario Bros. Wii;Super Mario Galaxy;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;;;
104;Monopoly: Here & Now -- World Edition;;Board;iPhone Mac Cell PS3 PC Web Cell;EA;Catan;Battle Chess (2011);Pure Chess;Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Modern Combat 5;;;
105;A Dinosaur's Tale;http://codesmedia.ign.com/codes/image/object/491/491435/606992boxart_160h.jpg;Platformer;Gen SNES GG GB;Hi;Sonic the Hedgehog 2;Sonic the Hedgehog [1991];Sonic & Knuckles;Sonic the Hedgehog 2;Shining Force II;Sonic the Hedgehog [1991];;;
106;New Super Mario Bros. Wii;http://assets1.ignimgs.com/2013/08/01/new-super-mario-wii1-usjpg-e93439_160h.jpg;Platformer;Wii;Nintendo;Kirby's Dream Collection: Special Edition;Super Mario Galaxy 2;Super Mario Galaxy;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;;;
107;Battle Chess (2011);;Board;iPhone PC;Interplay;Catan;Monopoly: Here & Now -- World Edition;Pure Chess;Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Modern Combat 5;;;
108;A Fading Melody;http://xbox360media.ign.com/xbox360/image/object/143/14336795/a_fadign_melody_xnaboxart_160h.jpg;Action;Xbox 360;Independent;Watch Dogs;Diablo III;Assassin's Creed III;Watch Dogs;Diablo III;Borderlands 2;;;
109;Dragon Ball Z: The Legacy of Goku;http://pocketmedia.ign.com/pocket/image/object/017/017519/620522boxart_160h.jpg;Action;GBA;Infogrames;The Legend of Zelda: The Minish Cap;Metroid Fusion;Metroid: Zero Mission;Fire Emblem: The Sacred Stones;Final Fantasy Tactics Advance;Fire Emblem;Pokemon Emerald Version;Pokemon Ruby Version;Pokemon FireRed Version
110;Disney Infinity: Marvel Super Heroes -- Toy Box;http://assets1.ignimgs.com/2014/04/30/disney-infinity-marvel-super-heroes-button-00jpg-a29e8b_160h.jpg;Action;iPhone Xbox One PS4 PS3 PC Xbox 360;Disney;Oddworld: Stranger's Wrath HD;Horn;The Dark Knight Rises;Tales from the Borderlands;Modern Combat 5;Final Fantasy Dimensions;;;
111;The Last Story;http://wiimedia.ign.com/wii/image/object/059/059789/last_story_t1boxart_160h.jpg;RPG;Wii;Xseed;Xenoblade Chronicles;Paper Mario;Super Mario RPG: Legend of the Seven Stars;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;Kirby's Dream Collection: Special Edition;;;
112;Pokemon Emerald Version;http://pocketmedia.ign.com/pocket/image/object/692/692344/emerald_box_feb1805boxart_160h.jpg;RPG;GBA;Nintendo;Pokemon Ruby Version;Pokemon FireRed Version;Pokemon Sapphire Version;Pokemon Ruby Version;Pokemon FireRed Version;Pokemon Sapphire Version;;;
113;A Fairy Tale;http://pcmedia.ign.com/pc/image/object/082/082009/dsi_a_fairy_taleboxart_160h.jpg;Adventure;DSi;Reflexive;The Legend of Zelda: Four Swords Anniversary Edition;Legends of Exidia;Surviving High School;The Legend of Zelda: Four Swords Anniversary Edition;Art Style: Aquia;Mario vs. Donkey Kong: Minis March Again!;;;
114;Tales from the Borderlands;http://assets2.ignimgs.com/2013/12/14/tales-from-the-borderlands-buttonjpg-e9729f_160h.jpg;Shooter;iPhone Xbox 360 Mac PC;Telltale;Modern Combat 5;N.O.V.A. 2: Near Orbit Vanguard Alliance;Trigger Fist;Disney Infinity: Marvel Super Heroes -- Toy Box;Modern Combat 5;Final Fantasy Dimensions;;;
115;The Legend of Zelda: Skyward Sword;http://pcmedia.ign.com/pc/image/object/872/872155/skyward_sword_wii_final1boxart_160h.jpg;Action;Wii;Nintendo;The Legend of Zelda: Twilight Princess;Disney Epic Mickey 2: The Power of Two;Super Paper Mario;The Legend of Zelda: Twilight Princess;Disney Epic Mickey 2: The Power of Two;Metroid: Other M;The Last Story;The Legend of Zelda: Twilight Princess;Kirby's Dream Collection: Special Edition
116;A Farewell to Dragons;;Action;PC;1C;Dark Souls II;Alien: Isolation;Assassin's Creed III;Dark Souls II;Borderlands 2;Bound by Flame;Far Cry 4;Dark Souls II;Wolfenstein: The New Order
117;Pokemon Ruby Version;http://media.ign.com/games/image/object/017/017508/Pokemon-Ruby_GBA_ESRBboxart_160h.jpg;RPG;GBA;Nintendo;Pokemon Emerald Version;Pokemon FireRed Version;Pokemon Sapphire Version;Pokemon Emerald Version;Pokemon FireRed Version;Pokemon Sapphire Version;;;
118;The Legend of Zelda: Twilight Princess;http://wiimedia.ign.com/wii/image/object/748/748589/TwilightPrincessRatingTFinalBoxboxart_160h.jpg;Action;Wii GCN NDS;Nintendo;The Legend of Zelda: Skyward Sword;Disney Epic Mickey 2: The Power of Two;Super Paper Mario;The Legend of Zelda: Skyward Sword;Disney Epic Mickey 2: The Power of Two;Metroid: Other M;The Last Story;The Legend of Zelda: Skyward Sword;Kirby's Dream Collection: Special Edition
119;Modern Combat 5;;Shooter;iPhone;Gameloft;Tales from the Borderlands;N.O.V.A. 2: Near Orbit Vanguard Alliance;Trigger Fist;Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Final Fantasy Dimensions;;;
120;Pokemon FireRed Version;http://media.ign.com/games/image/object/605/605909/Pokemon-FireRed_WithAdapter_GBA_ESRBboxart_160h.jpg;RPG;GBA;Nintendo;Pokemon Emerald Version;Pokemon Ruby Version;Pokemon Sapphire Version;Pokemon Emerald Version;Pokemon Ruby Version;Pokemon Sapphire Version;;;
121;A Game of Concentration;;Other;2600;Atari;Logic Master;The Impossible Game;Swordquest Airworld;Adventure;Logic Master;Halo 2600;;;
122;StarCraft II: Heart of the Swarm;http://assets1.ignimgs.com/2013/12/13/starcraft-2-heart-of-the-swarm-us-pcmacjpg-885eb1_160h.jpg;Strategy;PC Mac;Blizzard;Total War: Rome II;XCOM: Enemy Unknown;Company of Heroes 2;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
123;EA Sports UFC;http://assets1.ignimgs.com/2013/06/28/easportsufc-xboxone-silhouette-packart1jpg-50f0c6_160h.jpg;Fighting;Xbox One PS4;Electronic;Killer Instinct;Divekick;Halo 5: Guardians;Titanfall;Killer Instinct;;;;
124;A Game of Dwarves;;Strategy;PS3 PC;Paradox;Rainbow Moon;XCOM: Enemy Unknown;Mugen Souls;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
125;RBI Baseball 14;http://assets2.ignimgs.com/2014/04/15/rbi-baseball-2014-button-02jpg-f16ced_160h.jpg;Baseball;PS4 iPhone PS3 Xbox 360 Xbox One;TBA;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;;;;
126;Injustice: Gods Among Us -- Ultimate Edition;http://assets1.ignimgs.com/2013/11/22/injustice-ultimate-edition-us-ps4jpg-e96a5b_160h.jpg;Fighting;PS4 PC Xbox 360 PS3;Warner;EA Sports UFC;Arcade Archives -- Nekketsu Kouha Kunio Kun;Phantom Breaker: Battle Grounds Overdrive;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
127;Total War: Rome II;http://assets1.ignimgs.com/2013/08/26/totalromeii1jpg-e93f5a_160h.jpg;Strategy;PC;SEGA;StarCraft II: Heart of the Swarm;XCOM: Enemy Unknown;Company of Heroes 2;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
128;RBI Baseball 14;http://assets2.ignimgs.com/2014/04/15/rbi-baseball-2014-button-02jpg-f16ced_160h.jpg;Baseball;iPhone PS4 PS3 Xbox 360 Xbox One;MLBAM;Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Modern Combat 5;;;;;;
129;A Game of Dwarves;;Strategy;PC PS3;Paradox;StarCraft II: Heart of the Swarm;Total War: Rome II;XCOM: Enemy Unknown;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
130;Arcade Archives -- Nekketsu Kouha Kunio Kun;;Fighting;PS4 NES C64 CPC ZX Arcade 3DS Wii SMS Wii U;Hamster;EA Sports UFC;Injustice: Gods Among Us -- Ultimate Edition;Phantom Breaker: Battle Grounds Overdrive;Amplitude HD;Lords of the Fallen;Deep Down;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2
131;XCOM: Enemy Unknown;http://pspmedia.ign.com/ps-vita/image/object/126/126070/XCOMEU_PC-DVD_FoB(1)boxart_160h.jpg;Strategy;PC Xbox 360 Android iPhone PS3;2K;StarCraft II: Heart of the Swarm;Total War: Rome II;Company of Heroes 2;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
132;RBI Baseball 14;http://assets2.ignimgs.com/2014/04/15/rbi-baseball-2014-button-02jpg-f16ced_160h.jpg;Baseball;PS3 PS4 iPhone Xbox 360 Xbox One;TBA;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;;;;
133;Phantom Breaker: Battle Grounds Overdrive;;Fighting;PS4 Xbox 360;Mages;EA Sports UFC;Injustice: Gods Among Us -- Ultimate Edition;Arcade Archives -- Nekketsu Kouha Kunio Kun;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
134;A Game of Hockey;http://media.ign.com/games/image/object/076/076275/A-Game-of-Hockey_XBLAboxart_160h.jpg;Action;Xbox 360;Independent;Watch Dogs;Diablo III;Assassin's Creed III;Watch Dogs;Diablo III;Borderlands 2;;;
135;Disney's Classic Action Game Collection;http://pcmedia.ign.com/pc/image/object/854/854387/649157boxart_160h.jpg;Compilation;PC N64 PS GBC PSP PS3;Disney;The Orange Box;Grand Theft Auto: Episodes from Liberty City;Age of Mythology;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
136;RBI Baseball 14;http://assets2.ignimgs.com/2014/04/15/rbi-baseball-2014-button-02jpg-f16ced_160h.jpg;Baseball;Android PS4 iPhone PS3 Xbox One;TBA;Magic 2015 -- Duels of the Planewalkers;Oddworld: Stranger's Wrath HD;Fantasica;;;;;;
137;Far Cry 4;http://assets2.ignimgs.com/2014/05/15/farcry4keyart1jpg-a2a692_160h.jpg;Shooter;PS4 Xbox 360 PC PS3 Xbox One;Ubisoft;Tom Clancy's The Division;Wolfenstein: The New Order;Destiny;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
138;Super Mario 64;http://n64media.ign.com/n64/image/object/000/000606/602851boxart_160h.jpg;Platformer;N64 iQ Wii NDS;Nintendo;Donkey Kong 64;Banjo-Kazooie;Banjo-Tooie;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Majora's Mask;Mario Kart 64;;;
139;A Game of Tennis;;Sports;Xbox 360;UberGeekGames;Madden NFL 13;2014 FIFA World Cup Brazil;FIFA Soccer 13;Watch Dogs;Diablo III;Borderlands 2;;;
140;The Golf Club;http://assets1.ignimgs.com/2014/01/23/the-golf-club-butt-00jpg-886d44_160h.jpg;Sports;Xbox One PS4 PC;HB;Madden NFL 15;NHL 15;FIFA 15;Halo 5: Guardians;Titanfall;Killer Instinct;;;
141;Far Cry 4;http://assets2.ignimgs.com/2014/05/15/farcry4keyart1jpg-a2a692_160h.jpg;Shooter;Xbox 360 PS4 PC PS3 Xbox One;Ubisoft;Borderlands 2;Halo 4;Gears of War: Judgment;Watch Dogs;Diablo III;Borderlands 2;;;
142;A Game of Thrones: Genesis;http://dsmedia.ign.com/ds/image/object/081/081104/Game-of-Thrones-Genesis_PCDLboxart_160h.jpg;Strategy;PC;Focus;StarCraft II: Heart of the Swarm;Total War: Rome II;XCOM: Enemy Unknown;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
143;Donkey Kong 64;http://n64media.ign.com/n64/image/object/000/000607/600007boxart_160h.jpg;Platformer;N64;Nintendo;Super Mario 64;Banjo-Kazooie;Banjo-Tooie;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Majora's Mask;Super Mario 64;;;
144;The Golf Club;http://assets1.ignimgs.com/2014/01/23/the-golf-club-butt-00jpg-886d44_160h.jpg;Sports;PC Xbox One PS4;HB;FIFA Soccer 13;Pro Evolution Soccer 2013;FIFA 15;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
145;Far Cry 4;http://assets2.ignimgs.com/2014/05/15/farcry4keyart1jpg-a2a692_160h.jpg;Shooter;PS3 PS4 Xbox 360 PC Xbox One;Ubisoft;Call of Duty: Black Ops II;Borderlands 2;Dust 514;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
146;A Glowing Void;;;iPhone;Assyria;Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Modern Combat 5;;;;;;
147;Madden NFL 15;http://assets1.ignimgs.com/2014/04/28/madden-nfl-15-buttonjpg-a29d06_160h.jpg;Sports;PS4 PS3 Xbox One Xbox 360;Electronic;MLB 14: The Show;The Golf Club;NHL 15;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
148;Banjo-Kazooie;http://n64media.ign.com/n64/image/object/001/001922/600943boxart_160h.jpg;Platformer;N64 Xbox 360;Nintendo;Super Mario 64;Donkey Kong 64;Banjo-Tooie;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Majora's Mask;Super Mario 64;;;
149;A Great Day at the Races;;Sports;CD-i;Philips;USGA Great American Golf 2;Labyrinth of Crete;ABC Sports Presents: Power Hitter;Zelda's Adventure;Atlantis: The Last Resort;Dragon's Lair II: Time Warp;;;
150;Far Cry 4;http://assets2.ignimgs.com/2014/05/15/farcry4keyart1jpg-a2a692_160h.jpg;Shooter;Xbox One PS4 Xbox 360 PC Xbox 360;Ubisoft;Halo 5: Guardians;Titanfall;Evolve;Halo 5: Guardians;Titanfall;Killer Instinct;;;
151;NHL 15;http://assets2.ignimgs.com/2014/05/07/ea-sports-nhl-15-buttonjpg-a2a162_160h.jpg;Sports;PS4 PS3 Xbox 360 Xbox One;Electronic;MLB 14: The Show;Madden NFL 15;The Golf Club;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
152;A Great Easter Egg Hunt;http://xbox360media.ign.com/xbox360/image/object/143/14343811/thegreat_eeh_xnaboxart_160h.jpg;Puzzle;Xbox 360;Independent;Valiant Hearts: The Great War;Quantum Conundrum;Vessel;Need for Speed Most Wanted;Disney Fantasia: Music Evolved;Guacamelee! Super Turbo Championship Edition;Watch Dogs;Diablo III;Borderlands 2
153;The Legend of Zelda: Ocarina of Time;http://assets1.ignimgs.com/2013/08/01/zeldaocarinaboxorgfinaljpg-88210c_160h.jpg;Action;N64 iQ Wii GCN;Nintendo;The Legend of Zelda: Majora's Mask;Pokemon Snap;Conker's Bad Fur Day;The Legend of Zelda: Majora's Mask;Conker's Bad Fur Day;Resident Evil 2;The Legend of Zelda: Majora's Mask;Super Mario 64;Mario Kart 64
154;Boom Blox;http://media.ign.com/games/image/object/892/892269/BoomBlox_EAwii_Tfrontboxart_160h.jpg;Puzzle;Wii Cell;Electronic;Angry Birds;World of Goo;Wrecking Crew;Mario Kart Wii;NBA Jam;Mario Super Sluggers;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess
155;A Hat in Time;http://assets2.ignimgs.com/2013/06/18/a-hat-in-timegeneral-02jpg-50ed48_160h.jpg;Platformer;Mac PC;Gears;Limbo;Dustforce;Braid;Shovel Knight;LEGO Star Wars III: The Clone Wars;Skylanders Spyro's Adventure;Tomb Raider;Tales from the Borderlands;Among the Sleep
156;The Legend of Zelda: Majora's Mask;http://media.gamestats.com/gg/image/object/001/001933/ZeldaMajorasMask_N64Boxboxart_160h.jpg;Action;N64 Wii;Nintendo;The Legend of Zelda: Ocarina of Time;Pokemon Snap;Conker's Bad Fur Day;The Legend of Zelda: Ocarina of Time;Conker's Bad Fur Day;Resident Evil 2;The Legend of Zelda: Ocarina of Time;Super Mario 64;Mario Kart 64
157;Call of Duty: Black Ops II;http://ps3media.ign.com/ps3/image/object/126/126314/CallofDutyBlacOpsIIPCboxart_160h.jpg;Shooter;PC Wii U Xbox 360 PS3;Activision;Far Cry 4;Wolfenstein: The New Order;Counter-Strike: Global Offensive;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
158;A Hat in Time;http://assets2.ignimgs.com/2013/06/18/a-hat-in-timegeneral-02jpg-50ed48_160h.jpg;Platformer;PC Mac;Gears;Limbo;1001 Spikes;Guacamelee!;Thief;Assassin's Creed III;Resident Evil 6;Far Cry 4;Dark Souls II;Wolfenstein: The New Order
159;A Hell of A Job;;Adventure;PC;Phenomedia;Thief;Daylight;Murdered: Soul Suspect;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
160;Angry Birds;http://wirelessmedia.ign.com/wireless/image/object/082/082426/Angry-Birds-1_nWiiWare-TALLboxart_160h.jpg;Puzzle;Wii PC WinPhone iPhone iPad Mac iPad Android;Activision;Boom Blox;World of Goo;Wrecking Crew;Mario Kart Wii;Boom Blox;NBA Jam;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess
161;Counter-Strike: Global Offensive;http://media.ign.com/games/image/object/115/115451/Counter-Strike-Global-Offensive_v22_PCDLboxart_160h.jpg;Shooter;PC Mac PS3 Xbox 360;Valve;Far Cry 4;Wolfenstein: The New Order;Call of Duty: Black Ops II;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
162;World of Goo;http://wiimedia.ign.com/wii/image/object/142/14230233/World-Of-Goo_downsoft_160boxart_160h.jpg;Puzzle;Wii Android Mac Linux PC iPhone;2D;Boom Blox;Angry Birds;Wrecking Crew;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;;;
163;Crash Bandicoot: Warped;http://psxmedia.ign.com/psx/image/object/003/003919/600089boxart_160h.jpg;Platformer;PS PS3 PSP;Sony;Crash Bandicoot;Crash Bandicoot 2: Cortex Strikes Back;Spyro: Year of the Dragon;Final Fantasy VII;Final Fantasy VIII;Metal Gear Solid;;;
164;A Kappa's Trail;http://pcmedia.ign.com/pc/image/object/071/071693/a_kappas_trail_dsi_finalboxart_160h.jpg;Puzzle;DSi;Nintendo;Art Style: Aquia;101-in-1 Explosive Megamix;Escape Trick: Ninja Castle;Escape Trick: Ninja Castle;Mighty Milky Way;BlayzBloo: Super Melee Brawlers Battle Royale;The Legend of Zelda: Four Swords Anniversary Edition;Art Style: Aquia;Mario vs. Donkey Kong: Minis March Again!
165;Thief;http://assets1.ignimgs.com/2014/01/28/thiefboxps4jpg-e982bf_160h.jpg;Adventure;PS4 PS3 Xbox 360 PC;Square;Daylight;Murdered: Soul Suspect;The Evil Within;Middle-earth: Shadow of Mordor;Assassin's Creed Unity;Assassin's Creed IV: Black Flag;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2
166;Mario Kart Wii;http://wiimedia.ign.com/wii/image/object/949/949580/MarioKartWiiBoxboxart_160h.jpg;Racing;Wii;Nintendo;Need for Speed Undercover;Need for Speed Nitro;MX vs. ATV Untamed;Boom Blox;NBA Jam;Mario Super Sluggers;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess
167;Crash Bandicoot;http://media.gamestats.com/gg/image/object/000/000603/CrashBandicoot1_PS1Boxboxart_160h.jpg;Platformer;PS Android PS3 PSP;Sony;Crash Bandicoot: Warped;Crash Bandicoot 2: Cortex Strikes Back;Spyro: Year of the Dragon;Final Fantasy VII;Final Fantasy VIII;Metal Gear Solid;;;
168;Thief;http://assets1.ignimgs.com/2014/01/28/thiefboxps3jpg-886ec4_160h.jpg;Adventure;PS3 PS4 Xbox 360 PC;Square;Beyond: Two Souls;The Last Guardian;Murdered: Soul Suspect;Grand Theft Auto V;Middle-earth: Shadow of Mordor;Assassin's Creed III;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster
169;A Kingdom for Keflings;http://ps3media.ign.com/ps3/image/object/043/043688/A-Kingdom-for-Keflings_dl10_PCboxart_160h.jpg;Simulation;PC Xbox 360;NinjaBee;Sid Meier's Civilization: Beyond Earth;SimCity;The Sims 3: Supernatural;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
170;NBA Jam;http://wiimedia.ign.com/wii/image/object/056/056365/nbajamwii_eboxart_160h.jpg;Sports;Wii iPad iPhone Xbox 360;Electronic;Wii Sports;Wii Sports Resort;FIFA Soccer 13;Mario Kart Wii;Boom Blox;Mario Super Sluggers;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess
171;Thief;http://assets2.ignimgs.com/2014/02/05/thief3601jpg-464bc5.jpg;Adventure;Xbox 360 PS4 PS3 PC;Square;Murdered: Soul Suspect;The Evil Within;Family Guy: Back to the Multiverse;Assassin's Creed III;Resident Evil 6;Valiant Hearts: The Great War;Watch Dogs;Diablo III;Borderlands 2
